rank,gene,ensg,best_condition,composite_score,n_directions,directions,s_effect,s_repro,s_biology,s_context,s_network,s_genetics,s_drug,therapeutic_direction,novelty,eff_ontarget,out_degree,module_name,n_downstream,pol_shift,ctx_class,has_genetic_support,n_immune_disease_assoc,dis_max_neglog10_p,disease_categories,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,protein_class,biotype
1,LAT,ENSG00000213658,Stim8hr,0.9248,4.0,cytokine+polarization+context+network,0.645,0.797,0.727,1.0,0.996,0.0,1.0,suppress-inflammation,novel-druggable,17.262825348106805,5445,TCR-proximal signaling,5535,→Effector,activation-induced,False,0.0,,,False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
2,SMARCE1,ENSG00000073584,Stim8hr,0.909,3.0,cytokine+polarization+network,0.572,0.783,0.727,0.157,0.932,1.0,1.0,suppress-inflammation,novel-druggable,12.563390533960316,3267,,3266,→Th2; →Effector,constitutive,True,37.0,67.52287874528034,asthma-allergy(32); T1D(3); IBD(2),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
3,PLCG1,ENSG00000124181,Stim8hr,0.9084,4.0,cytokine+polarization+context+network,0.612,0.754,0.727,0.999,0.986,0.0,1.0,suppress-inflammation,novel-druggable,14.101124295570235,5013,TCR-proximal signaling,5032,→Effector,activation-induced,False,0.0,,,True,True,High-Quality Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
4,CD247,ENSG00000198821,Stim8hr,0.905,3.0,cytokine+context+network,0.584,0.67,0.727,0.998,0.968,0.494,1.0,suppress-inflammation,novel-druggable,11.933472010237974,4330,TCR-proximal signaling,4329,→Th1; →Effector,activation-induced,True,46.0,24.69897000433602,asthma-allergy(35); other-autoimmune(9); RA(2),True,True,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
5,STAT6,ENSG00000166888,Stim48hr,0.8846,3.0,cytokine+polarization+context,0.51,0.538,0.675,0.996,0.798,0.77,1.0,boost-immunity,novel-druggable,13.180099597182386,1128,,1127,→Th1,late-activation,True,55.0,38.52287874528034,asthma-allergy(55),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
6,CD3E,ENSG00000198851,Stim8hr,0.8812,3.0,cytokine+context+network,0.652,0.852,0.909,1.0,1.0,0.146,0.7,suppress-inflammation,known-drug-target,17.891807119280895,5601,TCR-proximal signaling,5710,→Effector,activation-induced,True,3.0,7.301029995663981,IBD(3),True,True,Structure with Ligand,True,22.0,T-cell surface glycoprotein CD3 epsilon chain binding agent [BINDING AGENT]; T-cell surface glycoprotein CD3 epsilon chain other [OTHER]; T-cell surface glycoprotein CD3 epsilon chain inhibitor [INHIBITOR]; T-cell surface glycoprotein CD3 epsilon chain cross-linking agent [CROSS-LINKING AGENT],False,SINGLE PROTEIN,protein_coding
7,ZAP70,ENSG00000115085,Stim8hr,0.8357,3.0,cytokine+polarization+network,0.595,0.849,0.556,0.968,0.986,0.154,1.0,suppress-inflammation,novel-druggable,12.174402170204049,4993,TCR-proximal signaling,5021,→Effector,constitutive,True,1.0,7.698970004336019,other-autoimmune(1),True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
8,IL4R,ENSG00000077238,Stim48hr,0.8316,3.0,cytokine+polarization+context,0.444,0.435,0.904,0.999,0.743,0.674,0.7,boost-immunity,known-drug-target,8.646176007212214,729,,728,→Th1,late-activation,True,48.0,33.69897000433602,asthma-allergy(42); IBD(3); other-autoimmune(2); psoriasis(1),False,True,,True,2.0,Interleukin-4 receptor subunit alpha antagonist [ANTAGONIST],False,SINGLE PROTEIN,protein_coding
9,VAV1,ENSG00000141968,Stim8hr,0.8302,2.0,cytokine+network,0.619,0.776,1.0,0.972,0.982,0.0,1.0,suppress-inflammation,novel-druggable,15.097187610756944,4873,TCR-proximal signaling,4897,,constitutive,True,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
10,TMX1,ENSG00000139921,Stim8hr,0.8005,3.0,cytokine+context+network,0.648,0.588,0.636,1.0,0.89,0.103,1.0,suppress-inflammation,novel-druggable,23.881790020529383,2347,TCR-proximal signaling,2346,→Treg,activation-induced,True,1.0,5.154901959985743,SLE(1),False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
11,CD2,ENSG00000116824,Stim48hr,0.7897,3.0,cytokine+polarization+context,0.736,0.517,0.727,0.993,0.782,0.282,0.7,suppress-inflammation,known-drug-target,40.504026954392685,989,,988,,activation-induced,True,2.0,14.096910013008056,other-autoimmune(2),False,True,,True,2.0,T-cell surface antigen CD2 inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
12,IL2RB,ENSG00000100385,Stim48hr,0.7812,3.0,cytokine+polarization+context,0.52,0.788,0.629,0.999,0.792,0.3,0.7,suppress-inflammation,known-drug-target,14.72002199938777,1070,,1069,→Effector,late-activation,True,11.0,15.0,RA(6); asthma-allergy(4); other-autoimmune(1); T1D(1),True,True,Structure with Ligand,True,10.0,Interleukin-2 receptor beta chain inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
13,CD28,ENSG00000178562,Stim8hr,0.7728,3.0,cytokine+context+network,0.607,0.518,0.636,0.995,0.835,0.4,0.7,suppress-inflammation,known-drug-target,22.40595141825408,1506,,1505,,activation-induced,True,29.0,20.0,RA(9); IBD(7); other-autoimmune(6); asthma-allergy(6); psoriasis(1); MS(1); T1D(1); SLE(1),True,True,Structure with Ligand,True,2.0,T-cell-specific surface glycoprotein CD28 antagonist [ANTAGONIST]; T-cell-specific surface glycoprotein CD28 agonist [AGONIST],False,SINGLE PROTEIN,protein_coding
14,IL7R,ENSG00000168685,Stim8hr,0.7695,2.0,cytokine+context,0.408,0.358,0.545,0.999,0.757,1.0,1.0,suppress-inflammation,novel-druggable,3.604226056692848,812,,811,,activation-induced,True,44.0,98.52287874528034,asthma-allergy(35); MS(4); other-autoimmune(2); psoriasis(2); SLE(1); T1D(1),False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
15,ITK,ENSG00000113263,Stim48hr,0.7512,3.0,cytokine+context+network,0.47,0.626,0.636,0.999,0.902,0.262,0.7,suppress-inflammation,known-drug-target,2.4336315713977874,2566,TCR-proximal signaling,2565,,activation-induced,True,5.0,13.096910013008056,asthma-allergy(3); other-autoimmune(1); MS(1),True,True,Approved Drug,True,4.0,Tyrosine-protein kinase ITK/TSK inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
16,EMC2,ENSG00000104412,Stim48hr,0.7504,3.0,cytokine+polarization+context,0.399,0.556,0.471,0.998,0.687,0.462,1.0,boost-immunity,novel-druggable,6.666963645783696,466,,465,→Th1,activation-induced,True,3.0,23.096910013008056,other-autoimmune(3),True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
17,PKM,ENSG00000067225,Stim8hr,0.7488,2.0,cytokine+network,0.703,0.544,0.818,0.94,0.86,0.0,1.0,suppress-inflammation,novel-druggable,32.15868327300232,1841,,1840,,constitutive,False,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
18,TBX21,ENSG00000073861,Stim8hr,0.7486,2.0,cytokine+polarization,0.452,0.852,0.774,0.821,0.635,0.93,0.3,suppress-inflammation,difficult,15.850480772722758,308,,307,→Th2; →Treg,constitutive,True,16.0,46.52287874528034,asthma-allergy(12); other-autoimmune(4),False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
19,SIK3,ENSG00000160584,Stim48hr,0.7419,3.0,cytokine+polarization+network,0.481,0.58,0.818,0.597,0.858,0.0,1.0,suppress-inflammation,novel-druggable,6.269396254250628,1810,,1809,→Treg,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
20,EIF4G1,ENSG00000114867,Stim8hr,0.7323,3.0,cytokine+polarization+network,0.509,0.77,0.727,0.382,0.848,0.0,1.0,boost-immunity,novel-druggable,10.116178350129118,1679,,1678,→Th1,mixed,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
21,CBLB,ENSG00000114423,Stim8hr,0.7319,2.0,cytokine+context,0.528,0.571,0.364,0.989,0.787,0.668,1.0,boost-immunity,novel-druggable,15.991721461146271,1028,,1027,→Effector,activation-induced,True,11.0,33.39794000867204,other-autoimmune(6); MS(3); RA(2),True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
22,TRIP12,ENSG00000153827,Stim8hr,0.7285,3.0,cytokine+context+network,0.785,0.578,0.334,1.0,0.859,0.0,1.0,suppress-inflammation,novel-druggable,41.751281166806415,1830,,1829,→Th1,activation-induced,True,0.0,,,True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
23,HEXIM1,ENSG00000186834,Stim48hr,0.7265,3.0,cytokine+polarization+context,0.514,0.522,0.477,0.999,0.822,0.15,1.0,suppress-inflammation,novel-druggable,12.224181921527077,1358,,1357,→Th1,late-activation,True,2.0,7.522878745280337,asthma-allergy(2),True,False,Med-Quality Pocket,False,0.0,,True,SINGLE PROTEIN,protein_coding
24,CARMIL2,ENSG00000159753,Stim8hr,0.7218,3.0,cytokine+context+network,0.602,0.293,0.636,1.0,0.901,0.0,1.0,suppress-inflammation,novel-druggable,17.935612295155313,2545,TCR-proximal signaling,2544,,activation-induced,True,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
25,NSD1,ENSG00000165671,Stim48hr,0.7184,3.0,cytokine+polarization+network,0.665,0.622,0.636,0.104,0.881,0.2,1.0,suppress-inflammation,novel-druggable,26.42526718583996,2175,,2174,→Effector,constitutive,True,1.0,10.0,asthma-allergy(1),True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
26,MYC,ENSG00000136997,Stim8hr,0.7163,2.0,cytokine+context,0.414,0.778,0.455,0.892,0.734,0.46,1.0,boost-immunity,novel-druggable,5.663612564916637,676,,675,→Th1,activation-induced,True,13.0,23.0,asthma-allergy(13),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
27,MED1,ENSG00000125686,Stim8hr,0.7129,2.0,cytokine+context,0.471,0.777,0.345,0.999,0.758,0.442,1.0,suppress-inflammation,novel-druggable,10.966430312828733,819,,818,→Effector,activation-induced,True,7.0,22.096910013008056,asthma-allergy(6); SLE(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
28,SKIC8,ENSG00000140395,Stim48hr,0.7062,3.0,cytokine+polarization+network,0.483,0.754,0.592,0.452,0.893,0.0,1.0,suppress-inflammation,novel-druggable,4.458591383862938,2400,,2399,→Effector,constitutive,False,0.0,,,True,False,High-Quality Pocket,False,0.0,,True,SINGLE PROTEIN,protein_coding
29,CPSF6,ENSG00000111605,Stim8hr,0.7043,3.0,cytokine+polarization+network,0.53,0.768,0.727,0.071,0.898,0.0,1.0,boost-immunity,novel-druggable,9.642752985111011,2487,,2486,→Th1; →Treg,constitutive,True,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
30,SENP5,ENSG00000119231,Stim8hr,0.7035,4.0,cytokine+polarization+context+network,0.824,0.444,0.535,1.0,0.99,0.0,0.3,boost-immunity,difficult,38.700746284832434,5172,SAGA/Mediator coactivator,5171,→Effector,activation-induced,False,0.0,,,False,False,,False,0.0,,False,SINGLE PROTEIN,protein_coding
31,SGF29,ENSG00000176476,Stim8hr,0.702,3.0,cytokine+polarization+network,0.607,0.666,0.512,0.171,0.959,0.19,1.0,suppress-inflammation,novel-druggable,15.133699051276723,4048,SAGA/Mediator coactivator,4047,→Th1,constitutive,True,5.0,9.522878745280336,asthma-allergy(3); IBD(2),True,False,High-Quality Pocket,False,0.0,,True,SINGLE PROTEIN,protein_coding
32,MPI,ENSG00000178802,Stim8hr,0.7017,2.0,cytokine+network,0.516,0.636,0.727,0.808,0.888,0.0,1.0,suppress-inflammation,novel-druggable,8.64872831254815,2295,,2294,,constitutive,False,0.0,,,True,True,High-Quality Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
33,CYB5R4,ENSG00000065615,Stim8hr,0.7006,3.0,cytokine+polarization+network,0.531,0.58,0.545,0.733,0.848,0.0,1.0,suppress-inflammation,novel-druggable,12.691617821811455,1675,,1674,→Th2; →Treg,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
34,MED24,ENSG00000008838,Rest,0.6975,3.0,cytokine+polarization+network,0.574,0.584,0.426,0.0,0.837,0.59,1.0,mixed,novel-druggable,18.39796710107933,1539,,1538,→Th2,rest-specific,True,12.0,29.522878745280337,asthma-allergy(12),True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
35,ATP2A2,ENSG00000174437,Rest,0.6966,3.0,cytokine+polarization+network,0.555,0.668,0.84,0.0,0.941,0.2,0.7,boost-immunity,known-drug-target,10.057253422470598,3519,,3518,→Th1,constitutive,True,3.0,10.0,IBD(3),True,True,Advanced Clinical,True,2.0,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 activator [ACTIVATOR],False,SINGLE PROTEIN,protein_coding
36,UBE2L3,ENSG00000185651,Rest,0.6912,2.0,cytokine+network,0.726,0.343,0.386,0.203,0.864,0.894,1.0,boost-immunity,novel-druggable,34.598924773200416,1905,,1904,→Treg,constitutive,True,13.0,44.69897000433602,IBD(7); SLE(6); other-autoimmune(1); psoriasis(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
37,RFT1,ENSG00000163933,Stim8hr,0.6903,2.0,cytokine+context,0.377,0.582,0.636,0.998,0.676,0.26,1.0,suppress-inflammation,novel-druggable,4.693737963884054,428,,427,,activation-induced,True,4.0,13.0,IBD(3); MS(1),False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
38,INPP5D,ENSG00000168918,Stim48hr,0.6875,3.0,cytokine+polarization+context,0.559,0.481,0.498,0.998,0.705,0.28,0.7,boost-immunity,known-drug-target,24.36659352699218,536,,535,→Th1,late-activation,True,8.0,14.0,asthma-allergy(7); psoriasis(1),True,True,Advanced Clinical,True,1.0,"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 activator [ACTIVATOR]",False,SINGLE PROTEIN,protein_coding
39,PGGT1B,ENSG00000164219,Stim8hr,0.6862,3.0,cytokine+context+network,0.495,0.597,0.383,0.89,0.922,0.0,1.0,suppress-inflammation,novel-druggable,4.217846941075719,3014,TCR-proximal signaling,3013,→Effector,activation-induced,False,0.0,,,True,False,High-Quality Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
40,POLG,ENSG00000140521,Stim48hr,0.6848,3.0,cytokine+polarization+network,0.497,0.506,0.455,0.952,0.842,0.0,1.0,suppress-inflammation,novel-druggable,9.040885247699746,1601,,1600,→Treg,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
41,PTPRC,ENSG00000081237,Stim48hr,0.6838,2.0,cytokine+network,0.597,0.803,0.364,0.967,0.931,0.294,0.7,mixed,known-drug-target,15.66099797518209,3226,TCR-proximal signaling,3225,→Th1; →Treg,constitutive,True,28.0,14.69897000433602,asthma-allergy(12); IBD(5); SLE(5); other-autoimmune(4); T1D(1); RA(1),True,True,High-Quality Ligand,True,2.0,Leukocyte common antigen binding agent [BINDING AGENT],False,SINGLE PROTEIN,protein_coding
42,CCNC,ENSG00000112237,Stim48hr,0.6813,3.0,cytokine+polarization+network,0.847,0.437,0.545,0.199,0.96,0.0,1.0,mixed,novel-druggable,43.159386311488575,4091,,4090,→Th2; →Effector,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
43,SLC35B1,ENSG00000121073,Stim8hr,0.6808,2.0,cytokine+network,0.517,0.8,0.727,0.421,0.838,0.0,1.0,suppress-inflammation,novel-druggable,11.697489415495204,1542,,1541,→Th1,constitutive,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
44,ARNT,ENSG00000143437,Stim8hr,0.6774,3.0,cytokine+polarization+network,0.572,0.667,0.458,0.119,0.905,0.23,1.0,mixed,novel-druggable,14.1844449860405,2643,,2642,→Th1; →Effector,constitutive,True,1.0,11.522878745280336,asthma-allergy(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
45,TADA2B,ENSG00000173011,Stim48hr,0.6766,3.0,cytokine+context+network,0.642,0.762,0.545,1.0,0.991,0.0,0.3,suppress-inflammation,difficult,17.33454831744466,5217,SAGA/Mediator coactivator,5259,→Effector,late-activation,True,0.0,,,False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
46,MALT1,ENSG00000172175,Stim8hr,0.676,3.0,cytokine+context+network,0.525,0.489,0.455,0.999,0.845,0.206,0.7,suppress-inflammation,known-drug-target,12.15938543215661,1640,,1639,,activation-induced,True,3.0,10.30102999566398,MS(3),True,False,Approved Drug,True,1.0,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
47,STK11,ENSG00000118046,Rest,0.6715,2.0,cytokine+polarization,0.463,0.551,1.0,0.038,0.793,0.168,1.0,suppress-inflammation,novel-druggable,7.917465924765942,1086,,1085,→Treg,constitutive,True,1.0,8.397940008672037,IBD(1); other-autoimmune(1); psoriasis(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
48,UFM1,ENSG00000120686,Stim8hr,0.6655,2.0,cytokine+network,0.721,0.547,0.727,0.154,0.887,0.102,1.0,boost-immunity,novel-druggable,32.61166047102845,2279,,2278,→Effector,constitutive,True,1.0,5.096910013008056,IBD(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
49,CLCC1,ENSG00000121940,Stim48hr,0.6627,3.0,cytokine+context+network,0.555,0.528,0.273,0.999,0.852,0.0,1.0,suppress-inflammation,novel-druggable,15.2996381298409,1732,,1731,,activation-induced,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
50,CD3G,ENSG00000160654,Stim48hr,0.6605,2.0,cytokine+context,0.486,0.754,0.636,0.999,0.823,0.0,0.7,suppress-inflammation,known-drug-target,8.88429025068251,1374,,1373,,late-activation,False,0.0,,,True,True,Structure with Ligand,True,16.0,T cell surface glycoprotein CD3 inhibitor [INHIBITOR]; T cell surface glycoprotein CD3 cross-linking agent [CROSS-LINKING AGENT],False,PROTEIN COMPLEX,protein_coding
51,ENO1,ENSG00000074800,Stim48hr,0.659,2.0,cytokine+context,0.519,0.768,0.455,0.997,0.654,0.0,1.0,suppress-inflammation,novel-druggable,22.63604188289682,359,,358,,late-activation,True,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
52,YTHDF2,ENSG00000198492,Stim48hr,0.6587,2.0,cytokine+network,0.637,0.579,0.636,0.488,0.904,0.0,1.0,boost-immunity,novel-druggable,21.815594176327807,2618,,2617,,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
53,MTG1,ENSG00000148824,Stim48hr,0.6579,3.0,cytokine+context+network,0.529,0.524,0.182,0.99,0.863,0.124,1.0,suppress-inflammation,novel-druggable,11.579052256831632,1894,Mitochondrial gene expression,1893,,late-activation,True,2.0,6.221848749616356,T1D(1); SLE(1),True,True,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
54,STAT3,ENSG00000168610,Stim48hr,0.6544,2.0,cytokine+network,0.544,0.598,0.455,0.265,0.842,0.781,0.7,suppress-inflammation,known-drug-target,14.569750579234713,1593,,1592,,constitutive,True,37.0,39.045757490560675,IBD(22); asthma-allergy(8); MS(6); other-autoimmune(2); psoriasis(1); SLE(1),True,True,Structure with Ligand,False,1.0,,False,SINGLE PROTEIN,protein_coding
55,PRKAR1A,ENSG00000108946,Rest,0.6499,2.0,cytokine+polarization,0.451,0.641,0.924,0.133,0.791,0.0,1.0,mixed,novel-druggable,6.621803786317123,1065,,1064,→Treg,constitutive,False,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
56,DOLPP1,ENSG00000167130,Stim8hr,0.6498,2.0,cytokine+network,0.606,0.567,0.545,0.648,0.909,0.0,1.0,suppress-inflammation,novel-druggable,17.8874823057354,2718,,2717,,constitutive,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
57,ATAD5,ENSG00000176208,Rest,0.6482,2.0,cytokine+network,0.621,0.703,0.727,0.0,0.951,0.0,1.0,mixed,novel-druggable,17.287463804270306,3791,DNA replication/repair,3790,,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
58,IBA57,ENSG00000181873,Stim48hr,0.6447,2.0,cytokine+polarization,0.418,0.746,0.434,0.973,0.772,0.0,1.0,suppress-inflammation,novel-druggable,3.953380853935074,919,,918,→Treg,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
59,AEBP2,ENSG00000139154,Stim48hr,0.6439,2.0,cytokine+context,0.547,0.747,0.273,0.998,0.698,0.114,1.0,suppress-inflammation,novel-druggable,23.311349888781063,510,,509,,late-activation,True,1.0,5.698970004336019,IBD(1),True,False,Structure with Ligand,False,0.0,,True,PROTEIN COMPLEX,protein_coding
60,EFR3A,ENSG00000132294,Stim8hr,0.6434,2.0,cytokine+network,0.508,0.696,0.545,0.264,0.872,0.21,1.0,suppress-inflammation,novel-druggable,8.6366372315756,2030,,2029,→Effector,mixed,True,2.0,10.522878745280336,asthma-allergy(2),False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
61,BHLHE40,ENSG00000134107,Stim48hr,0.6383,3.0,cytokine+polarization+network,0.535,0.628,0.636,0.622,0.849,0.254,0.3,suppress-inflammation,difficult,13.068173693111076,1687,,1686,→Th1,constitutive,True,5.0,12.69897000433602,asthma-allergy(3); other-autoimmune(1); psoriasis(1),False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
62,PDCL,ENSG00000136940,Stim48hr,0.6383,3.0,cytokine+polarization+network,0.553,0.488,0.545,0.332,0.834,0.0,1.0,suppress-inflammation,novel-druggable,16.105072736185118,1502,,1501,,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
63,MFSD6,ENSG00000151690,Stim48hr,0.6362,2.0,cytokine+context,0.283,0.791,0.455,0.988,0.475,0.2,1.0,suppress-inflammation,novel-druggable,5.406934078207955,86,,85,,activation-induced,True,3.0,10.0,other-autoimmune(2); SLE(1),False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
64,VPS45,ENSG00000136631,Stim8hr,0.6355,3.0,cytokine+polarization+context,0.299,0.723,0.405,0.987,0.465,0.0,1.0,boost-immunity,novel-druggable,7.919370801514887,79,,78,→Effector,activation-induced,True,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
65,BCL10,ENSG00000142867,Stim8hr,0.6281,3.0,cytokine+context+network,0.58,0.711,0.455,1.0,0.939,0.0,0.3,suppress-inflammation,difficult,13.113211002631488,3456,TCR-proximal signaling,3455,→Th1,activation-induced,False,0.0,,,False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
