rank,gene,ensg,best_condition,composite_score,n_directions,directions,s_effect,s_repro,s_biology,s_context,s_network,s_genetics,s_drug,therapeutic_direction,novelty,eff_ontarget,out_degree,module_name,n_downstream,pol_shift,ctx_class,has_genetic_support,n_immune_disease_assoc,dis_max_neglog10_p,disease_categories,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,protein_class,biotype
66,CHD4,ENSG00000111642,Stim8hr,0.6265,3.0,cytokine+polarization+network,0.483,0.571,0.594,0.117,0.836,0.0,1.0,boost-immunity,novel-druggable,7.854961327872931,1517,,1516,→Th1,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
67,DCK,ENSG00000156136,Stim48hr,0.6256,2.0,cytokine+context,0.401,0.776,0.364,0.998,0.696,0.0,1.0,suppress-inflammation,novel-druggable,6.410649352210729,500,,499,,late-activation,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
68,GTF2H5,ENSG00000272047,Stim8hr,0.625,2.0,cytokine+context,0.503,0.865,0.182,0.996,0.612,0.106,1.0,mixed,novel-druggable,23.1682924108104,256,,255,,activation-induced,True,1.0,5.301029995663981,other-autoimmune(1),True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
69,ORAI1,ENSG00000276045,Stim8hr,0.6201,2.0,cytokine+context,0.521,0.426,0.455,0.996,0.811,0.0,1.0,boost-immunity,novel-druggable,13.724840734787824,1250,,1249,,activation-induced,False,0.0,,,True,True,High-Quality Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
70,ALG1,ENSG00000033011,Stim8hr,0.6201,2.0,polarization+context,0.363,0.723,0.422,0.998,0.668,0.0,1.0,suppress-inflammation,novel-druggable,3.519349559147316,400,,399,→Effector,activation-induced,False,0.0,,,False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
71,ELOB,ENSG00000103363,Stim48hr,0.6196,3.0,cytokine+polarization+network,0.575,0.414,0.473,0.344,0.89,0.0,1.0,mixed,novel-druggable,15.399258391731934,2340,,2339,→Treg,constitutive,True,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
72,PMVK,ENSG00000163344,Stim48hr,0.617,2.0,cytokine+network,0.56,0.811,0.636,0.888,0.942,0.0,0.3,suppress-inflammation,difficult,10.625338298747694,3528,TCR-proximal signaling,3527,,constitutive,False,0.0,,,False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
73,GPI,ENSG00000105220,Stim48hr,0.6163,2.0,cytokine+network,0.602,0.563,0.364,0.772,0.856,0.0,1.0,suppress-inflammation,novel-druggable,20.55947339928412,1780,,1779,,constitutive,False,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
74,NRBP1,ENSG00000115216,Rest,0.6145,2.0,cytokine+polarization,0.393,0.764,0.453,0.322,0.663,0.306,1.0,boost-immunity,novel-druggable,7.377080500396872,385,,384,→Th2,constitutive,True,1.0,15.30102999566398,IBD(1),True,False,Druggable Family,False,0.0,,True,(inferred:protein_coding),protein_coding
75,COG6,ENSG00000133103,Stim8hr,0.6141,2.0,cytokine+context,0.422,0.314,0.273,0.999,0.802,0.421,1.0,suppress-inflammation,novel-druggable,2.694523900483848,1162,,1161,,activation-induced,True,35.0,21.045757490560675,RA(18); asthma-allergy(10); psoriasis(4); SLE(2); MS(2); other-autoimmune(1),False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
76,LIG3,ENSG00000005156,Stim48hr,0.613,2.0,cytokine+context,0.46,0.449,0.455,0.998,0.804,0.0,1.0,suppress-inflammation,novel-druggable,6.980123824563979,1177,,1176,,late-activation,True,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
77,ACLY,ENSG00000131473,Stim48hr,0.6127,2.0,cytokine+network,0.594,0.557,0.455,0.99,0.895,0.0,0.7,suppress-inflammation,known-drug-target,17.329000580256267,2432,,2431,→Th2,constitutive,False,0.0,,,True,True,Approved Drug,True,1.0,ATP-citrate synthase inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
78,CYCS,ENSG00000172115,Stim8hr,0.6125,2.0,cytokine+context,0.319,0.895,0.336,0.994,0.41,0.114,1.0,suppress-inflammation,novel-druggable,13.466405414349076,51,,50,→Th1,late-activation,True,1.0,5.698970004336019,SLE(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
79,METTL1,ENSG00000037897,Stim48hr,0.612,2.0,cytokine+polarization,0.437,0.511,0.545,0.427,0.814,0.206,1.0,mixed,novel-druggable,3.666250028283999,1283,,1282,→Th1; →Treg,constitutive,True,1.0,10.30102999566398,MS(1),True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
80,SMARCB1,ENSG00000099956,Rest,0.6089,3.0,cytokine+polarization+network,0.518,0.756,0.393,0.0,0.878,0.0,1.0,suppress-inflammation,novel-druggable,9.377832476599774,2130,,2129,→Treg,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
81,CBFB,ENSG00000067955,Stim48hr,0.6089,2.0,cytokine+polarization,0.482,0.629,0.721,0.127,0.799,0.0,1.0,suppress-inflammation,novel-druggable,9.898467446317564,1133,,1132,→Effector,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
82,STAT5B,ENSG00000173757,Stim48hr,0.6083,2.0,cytokine+polarization,0.47,0.698,0.545,0.0,0.79,0.264,1.0,suppress-inflammation,novel-druggable,8.918683919969254,1060,,1059,→Effector,constitutive,True,12.0,13.221848749616356,asthma-allergy(9); IBD(3),True,False,High-Quality Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
83,KDM1A,ENSG00000004487,Stim48hr,0.6071,3.0,cytokine+polarization+network,0.616,0.718,0.455,0.182,0.918,0.0,0.7,suppress-inflammation,known-drug-target,18.57519939748311,2913,,2912,,constitutive,False,0.0,,,True,False,Advanced Clinical,True,1.0,Lysine-specific histone demethylase 1 inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
84,TFAM,ENSG00000108064,Stim48hr,0.6066,2.0,cytokine+network,0.575,0.595,0.273,0.794,0.92,0.0,1.0,suppress-inflammation,novel-druggable,13.697047653998643,2961,Mitochondrial gene expression,2960,,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
85,LCK,ENSG00000182866,Stim8hr,0.605,2.0,cytokine+network,0.522,0.727,0.455,0.773,0.894,0.0,0.7,suppress-inflammation,known-drug-target,8.989514710597316,2414,TCR-proximal signaling,2413,→Effector,constitutive,False,0.0,,,True,True,Approved Drug,True,8.0,Tyrosine-protein kinase LCK inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
86,DDX39B,ENSG00000198563,Stim48hr,0.6049,2.0,polarization+context,0.298,0.804,0.41,0.869,0.485,0.114,1.0,suppress-inflammation,novel-druggable,6.650468590832944,93,,92,→Th2,late-activation,True,1.0,5.698970004336019,asthma-allergy(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
87,TFB1M,ENSG00000029639,Stim48hr,0.6045,2.0,cytokine+context,0.482,0.521,0.364,0.999,0.765,0.0,1.0,suppress-inflammation,novel-druggable,11.79719375259502,866,,865,→Treg,late-activation,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
88,GET1,ENSG00000182093,Stim8hr,0.6042,2.0,cytokine+context,0.315,0.707,0.455,0.994,0.557,0.0,1.0,suppress-inflammation,novel-druggable,4.405935111107311,165,,164,,activation-induced,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
89,N6AMT1,ENSG00000156239,Stim48hr,0.6038,2.0,cytokine+context,0.379,0.543,0.455,0.998,0.699,0.0,1.0,suppress-inflammation,novel-druggable,3.673014888117712,511,,510,,activation-induced,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
90,LRPPRC,ENSG00000138095,Stim48hr,0.6036,2.0,cytokine+network,0.592,0.597,0.455,0.428,0.866,0.0,1.0,suppress-inflammation,novel-druggable,18.83716571849336,1926,Mitochondrial gene expression,1925,→Treg,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
91,GNPNAT1,ENSG00000100522,Stim8hr,0.6032,2.0,cytokine+context,0.313,0.575,0.545,0.994,0.566,0.0,1.0,suppress-inflammation,novel-druggable,3.637588867189848,178,,177,,activation-induced,False,0.0,,,True,True,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
92,ELAVL1,ENSG00000066044,Stim48hr,0.603,2.0,cytokine+network,0.833,0.513,0.545,0.001,0.871,0.0,1.0,boost-immunity,novel-druggable,46.69939837157333,2008,,2007,,constitutive,False,0.0,,,True,False,High-Quality Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
93,CREBBP,ENSG00000005339,Stim8hr,0.6028,2.0,cytokine+network,0.658,0.626,0.636,0.311,0.92,0.0,0.7,suppress-inflammation,known-drug-target,23.397890150711373,2969,,2968,,constitutive,True,0.0,,,True,False,Structure with Ligand,False,1.0,,False,SINGLE PROTEIN,protein_coding
94,PTPN2,ENSG00000175354,Rest,0.6025,2.0,cytokine+polarization,0.397,0.309,0.717,0.0,0.672,0.542,1.0,boost-immunity,novel-druggable,7.271300386225767,414,,413,→Th1,constitutive,True,88.0,27.096910013008056,IBD(28); RA(26); other-autoimmune(15); T1D(14); psoriasis(12); asthma-allergy(2); SLE(1),True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
95,MIA2,ENSG00000150527,Stim48hr,0.6013,2.0,cytokine+network,0.526,0.581,0.265,0.935,0.84,0.0,1.0,suppress-inflammation,novel-druggable,12.660553407161007,1566,,1565,→Th1,constitutive,True,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
96,FZD6,ENSG00000164930,Stim8hr,0.5995,2.0,cytokine+context,0.436,0.618,0.273,0.999,0.825,0.0,1.0,suppress-inflammation,novel-druggable,2.906857106024274,1395,,1394,,activation-induced,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
97,OXA1L,ENSG00000155463,Stim48hr,0.598,2.0,cytokine+network,0.568,0.543,0.364,0.705,0.838,0.0,1.0,suppress-inflammation,novel-druggable,17.699254484582493,1542,,1541,,constitutive,False,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
98,NCKAP1L,ENSG00000123338,Rest,0.5976,2.0,cytokine+network,0.735,0.547,0.545,0.0,0.919,0.0,1.0,boost-immunity,novel-druggable,32.36533068028317,2947,,2946,,constitutive,False,0.0,,,False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
99,MED12,ENSG00000184634,Stim8hr,0.5967,3.0,cytokine+polarization+network,0.554,0.703,0.744,0.186,0.962,0.0,0.3,suppress-inflammation,difficult,8.788787110955338,4142,SAGA/Mediator coactivator,4141,→Th1; →Effector,constitutive,False,0.0,,,False,False,,False,0.0,,False,SINGLE PROTEIN,protein_coding
100,PPCDC,ENSG00000138621,Stim8hr,0.5951,2.0,cytokine+context,0.436,0.29,0.377,0.999,0.747,0.214,1.0,boost-immunity,novel-druggable,7.508552726543048,751,,750,→Effector,activation-induced,True,3.0,10.69897000433602,asthma-allergy(2); SLE(1),True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
101,DOHH,ENSG00000129932,Stim48hr,0.5945,2.0,cytokine+network,0.447,0.716,0.364,0.644,0.789,0.0,1.0,suppress-inflammation,novel-druggable,6.29717996959864,1052,,1051,,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
102,GATA3,ENSG00000107485,Stim8hr,0.5916,2.0,cytokine+polarization,0.574,0.625,0.831,0.171,0.81,0.324,0.3,suppress-inflammation,difficult,19.995103304780407,1239,,1238,→Th1,constitutive,True,35.0,16.221848749616356,RA(15); asthma-allergy(13); T1D(3); MS(2); IBD(1); other-autoimmune(1),False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
103,TMED9,ENSG00000184840,Stim8hr,0.5899,2.0,cytokine+network,0.528,0.767,0.388,0.243,0.902,0.0,1.0,mixed,novel-druggable,9.232095585726972,2577,,2576,→Treg,constitutive,False,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
104,PDHA1,ENSG00000131828,Stim48hr,0.5898,2.0,cytokine+context,0.513,0.394,0.364,0.999,0.775,0.0,1.0,suppress-inflammation,novel-druggable,14.812702594014262,939,,938,,late-activation,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
105,GNPAT,ENSG00000116906,Stim8hr,0.5887,3.0,cytokine+polarization+context,0.338,0.342,0.404,0.995,0.584,0.0,1.0,boost-immunity,novel-druggable,5.510349479339465,205,,204,→Th1,activation-induced,False,0.0,,,False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
106,RNF20,ENSG00000155827,Stim48hr,0.5884,3.0,cytokine+polarization+context,0.427,0.754,0.455,0.999,0.775,0.0,0.3,suppress-inflammation,difficult,4.780116827511398,935,,934,→Th1,activation-induced,False,0.0,,,False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
107,COX6C,ENSG00000164919,Stim8hr,0.5876,2.0,cytokine+network,0.567,0.489,0.364,0.697,0.834,0.0,1.0,mixed,novel-druggable,17.78242717547921,1494,,1493,→Effector,constitutive,True,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
108,SND1,ENSG00000197157,Stim8hr,0.5856,2.0,cytokine+context,0.434,0.511,0.455,0.997,0.5,0.0,1.0,suppress-inflammation,novel-druggable,21.66368269172751,105,,104,→Th2,late-activation,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
109,IMPDH2,ENSG00000178035,Stim48hr,0.5846,2.0,cytokine+polarization,0.45,0.705,0.401,0.94,0.79,0.0,0.7,suppress-inflammation,known-drug-target,6.681475240130619,1055,,1054,→Th1; →Treg,constitutive,False,0.0,,,True,True,Approved Drug,True,7.0,,False,SINGLE PROTEIN,protein_coding
110,SUPT20H,ENSG00000102710,Stim8hr,0.5845,3.0,cytokine+polarization+network,0.635,0.634,0.718,0.125,0.956,0.0,0.3,mixed,difficult,18.60351722439309,3948,SAGA/Mediator coactivator,3947,→Th1; →Effector,constitutive,False,0.0,,,False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
111,RPRD2,ENSG00000163125,Stim48hr,0.5843,2.0,cytokine+network,0.591,0.549,0.364,0.293,0.911,0.814,0.3,boost-immunity,difficult,16.037433639147977,2755,,2754,,constitutive,True,2.0,40.69897000433602,asthma-allergy(2),False,False,,False,0.0,,False,SINGLE PROTEIN,protein_coding
112,RNFT2,ENSG00000135119,Stim48hr,0.5837,2.0,cytokine+context,0.464,0.513,0.273,0.999,0.795,0.0,1.0,suppress-inflammation,novel-druggable,7.951538392036575,1104,,1103,,late-activation,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
113,NDFIP2,ENSG00000102471,Stim8hr,0.5821,2.0,cytokine+context,0.52,0.472,0.273,0.999,0.76,0.0,1.0,suppress-inflammation,novel-druggable,16.507232922287095,835,,834,,activation-induced,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
114,MAX,ENSG00000125952,Stim8hr,0.5821,2.0,cytokine+network,0.599,0.449,0.091,0.923,0.884,0.154,1.0,boost-immunity,novel-druggable,18.59104351892798,2223,,2222,,constitutive,True,1.0,7.698970004336019,asthma-allergy(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
115,MTPAP,ENSG00000107951,Stim48hr,0.5818,2.0,cytokine+context,0.419,0.584,0.267,0.999,0.752,0.0,1.0,boost-immunity,novel-druggable,5.2157584242184925,784,,783,→Th1,late-activation,False,0.0,,,True,False,Med-Quality Pocket,False,0.0,,True,(inferred:protein_coding),protein_coding
116,LETM2,ENSG00000165046,Stim48hr,0.5793,2.0,cytokine+context,0.383,0.536,0.364,0.997,0.663,0.0,1.0,boost-immunity,novel-druggable,6.1532450055532255,386,,385,,late-activation,True,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
117,ATXN7L3,ENSG00000087152,Stim8hr,0.579,2.0,cytokine+network,0.548,0.524,0.364,0.562,0.867,0.0,1.0,mixed,novel-druggable,13.557483353777297,1942,,1941,,constitutive,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
118,TMEM234,ENSG00000160055,Stim8hr,0.5787,2.0,cytokine+context,0.284,0.847,0.273,0.992,0.527,0.0,1.0,boost-immunity,novel-druggable,2.589999111147949,130,,129,→Effector,activation-induced,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
119,MEN1,ENSG00000133895,Stim48hr,0.5778,3.0,cytokine+polarization+network,0.465,0.599,0.364,0.563,0.88,0.0,0.7,suppress-inflammation,known-drug-target,3.096732726094004,2157,,2156,,constitutive,False,0.0,,,True,False,Phase 1 Clinical,True,3.0,Menin inhibitor [INHIBITOR],False,SINGLE PROTEIN,protein_coding
120,NDUFAF3,ENSG00000178057,Stim48hr,0.5775,3.0,cytokine+context+network,0.626,0.522,0.091,0.994,0.865,0.0,0.7,suppress-inflammation,known-drug-target,22.778179516713195,1923,,1922,,late-activation,False,0.0,,,True,False,Approved Drug,True,3.0,Mitochondrial complex I (NADH dehydrogenase) inhibitor [INHIBITOR],False,PROTEIN COMPLEX,protein_coding
121,CTPS1,ENSG00000171793,Stim8hr,0.5749,2.0,cytokine+context,0.452,0.496,0.349,0.838,0.769,0.0,1.0,suppress-inflammation,novel-druggable,8.056806220548136,892,,891,→Th1; →Effector,activation-induced,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
122,GJC1,ENSG00000182963,Stim48hr,0.5732,2.0,cytokine+context,0.278,0.779,0.301,0.992,0.531,0.0,1.0,suppress-inflammation,novel-druggable,1.6701093292655824,134,,133,→Effector,activation-induced,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
123,SMARCA5,ENSG00000153147,Rest,0.5727,2.0,cytokine+network,0.587,0.79,0.364,0.0,0.912,0.0,1.0,boost-immunity,novel-druggable,15.575834259022333,2786,,2785,,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
124,SEL1L,ENSG00000071537,Stim8hr,0.5725,3.0,cytokine+polarization+network,0.461,0.55,0.49,0.0,0.775,0.0,1.0,suppress-inflammation,novel-druggable,8.738205537919114,937,,936,→Th1,constitutive,True,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
125,NFKB2,ENSG00000077150,Stim8hr,0.5717,2.0,cytokine+polarization,0.687,0.465,0.545,0.506,0.821,0.0,0.7,boost-immunity,known-drug-target,32.57992844326427,1350,,1349,→Th1; →Effector,constitutive,True,0.0,,,True,False,Advanced Clinical,True,1.0,,False,SINGLE PROTEIN,protein_coding
126,GTF3C6,ENSG00000155115,Stim8hr,0.569,3.0,cytokine+polarization+context,0.42,0.715,0.43,0.998,0.73,0.0,0.3,boost-immunity,difficult,6.617485401025941,654,,653,→Th1,activation-induced,False,0.0,,,False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
127,GOLT1B,ENSG00000111711,Stim8hr,0.5677,2.0,cytokine+context,0.273,0.781,0.309,0.988,0.474,0.0,1.0,suppress-inflammation,novel-druggable,4.415419117346142,85,,84,→Th1,activation-induced,False,0.0,,,False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
128,ATP5F1A,ENSG00000152234,Stim48hr,0.5669,2.0,cytokine+polarization,0.517,0.508,0.265,0.8,0.786,0.0,1.0,mixed,novel-druggable,14.664214044969173,1021,,1020,→Treg,constitutive,False,0.0,,,True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
129,DLAT,ENSG00000150768,Stim48hr,0.5668,2.0,cytokine+context,0.507,0.488,0.182,0.999,0.797,0.0,1.0,suppress-inflammation,novel-druggable,12.924449564533292,1116,,1115,,late-activation,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
130,KMT2E,ENSG00000005483,Stim48hr,0.5648,2.0,cytokine+polarization,0.479,0.446,0.512,0.454,0.769,0.0,1.0,suppress-inflammation,novel-druggable,11.19958178917156,896,,895,→Treg,constitutive,True,0.0,,,False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
131,MAEA,ENSG00000090316,Stim8hr,0.5648,3.0,cytokine+polarization+network,0.551,0.434,0.462,0.0,0.805,0.0,1.0,suppress-inflammation,novel-druggable,17.534725372837727,1190,,1189,→Effector,mixed,False,0.0,,,False,True,,False,0.0,,True,(inferred:protein_coding),protein_coding
132,DENR,ENSG00000139726,Rest,0.5639,2.0,cytokine+network,0.617,0.534,0.361,0.314,0.864,0.0,1.0,boost-immunity,novel-druggable,21.85865216718166,1897,,1896,→Treg,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
133,TAF13,ENSG00000197780,Stim8hr,0.5629,2.0,cytokine+network,0.626,0.641,0.286,0.208,0.935,0.0,1.0,boost-immunity,novel-druggable,18.79031052926205,3342,,3341,→Effector,constitutive,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
134,ME3,ENSG00000151376,Stim48hr,0.5578,2.0,cytokine+context,0.261,0.741,0.182,0.991,0.513,0.134,1.0,mixed,novel-druggable,0.7089589051863894,116,,115,,late-activation,True,3.0,6.698970004336019,asthma-allergy(2); other-autoimmune(1),True,False,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
135,TRAF3,ENSG00000131323,Rest,0.5578,2.0,cytokine+network,0.69,0.585,0.364,0.095,0.82,0.71,0.3,boost-immunity,difficult,32.8951748253116,1344,,1343,,constitutive,True,19.0,35.52287874528034,asthma-allergy(14); MS(4); SLE(1),False,False,,False,0.0,,False,(inferred:protein_coding),protein_coding
136,MTCH2,ENSG00000109919,Stim48hr,0.5572,2.0,cytokine+context,0.439,0.539,0.182,0.999,0.737,0.0,1.0,suppress-inflammation,novel-druggable,8.392552912392494,693,,692,,late-activation,False,0.0,,,False,True,,False,0.0,,True,SINGLE PROTEIN,protein_coding
137,CCDC12,ENSG00000160799,Stim8hr,0.557,2.0,cytokine+context,0.384,0.567,0.091,0.998,0.718,0.16,1.0,suppress-inflammation,novel-druggable,3.067652134376165,594,,593,,activation-induced,True,1.0,8.0,other-autoimmune(1),True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
138,SMPD1,ENSG00000166311,Stim48hr,0.5551,2.0,polarization+context,0.298,0.427,0.407,0.986,0.457,0.134,1.0,boost-immunity,novel-druggable,8.314233751566821,74,,73,→Effector,late-activation,True,1.0,6.698970004336019,asthma-allergy(1),True,True,Structure with Ligand,False,0.0,,True,SINGLE PROTEIN,protein_coding
139,MED15,ENSG00000099917,Stim48hr,0.5551,2.0,cytokine+network,0.633,0.545,0.364,0.0,0.82,0.154,1.0,mixed,novel-druggable,26.3227085082091,1341,,1340,→Th1,constitutive,True,1.0,7.698970004336019,psoriasis(1),True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
140,RB1CC1,ENSG00000023287,Stim8hr,0.5547,2.0,cytokine+context,0.466,0.232,0.364,0.999,0.77,0.0,1.0,mixed,novel-druggable,9.686413870295867,902,,901,,activation-induced,False,0.0,,,True,False,Structure with Ligand,False,0.0,,True,(inferred:protein_coding),protein_coding
