gene,ensg,n_directions,n_total_gwas,n_immune_assoc,min_immune_pvalue,immune_traits,example_study,has_genetic_support,n_immune_disease_assoc,dis_min_pvalue,disease_categories,max_neglog10_immune_p,dis_max_neglog10_p
PTPN2,ENSG00000175354,2,166,96,8e-28,"rheumatoid arthritis; Rheumatoid arthritis; inflammatory bowel disease; Crohn disease; type 1 diabetes mellitus; Type 1 diabetes; psoriasis; Crohn's disease; Inflammatory bowel disease; ulcerative colitis; eosinophil count; Eosinophil count; celiac disease; autoimmune thyroid disease; rheumatoid factor seropositivity measurement; Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive); Inflammatory bowel disease (MTAG); Celiac disease; ankylosing spondylitis; Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy); autoimmune disease; Rheumatoid arthritis or type 1 diabetes; Ulcerative colitis; systemic-onset juvenile idiopathic arthritis; rheumatoid factor-negative juvenile idiopathic arthritis; oligoarticular juvenile idiopathic arthritis; Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular); eosinophil percentage of leukocytes; Psoriasis (PheCode 696.4); Psoriasis and related disorder (PheCode 696); psoriasis vulgaris; Psoriasis vulgaris (PheCode 696.41); Autoimmune thyroid disease; lymphocyte count; Lymphocyte count; Psoriasis; Hypothyroidism or rheumatoid arthritis (pleiotropy); Inflammatory skin disease; Autoimmune hypothyroidism; Autoimmune traits; Autoimmune traits (pleiotropy); Celiac disease and Rheumatoid arthritis; Eosinophil percentage of white cells; Celiac disease or Rheumatoid arthritis; immune system disorder; systemic lupus erythematosus; Systemic lupus erythematosus (MTAG); dermatitis; Atopic/contact dermatitis due to other or unspecified (PheCode 939); Graves' disease; Graves disease; Vitiligo; vitiligo; Rheumatoid arthritis (ACPA-positive); Crohn's disease x sex interaction (2df); atopic eczema; age of onset of type 1 diabetes mellitus; Age of onset of type 1 diabetes; Inflammatory bowel disease x sex interaction (2df); Inflammatory bowel disease (Tractor method with European ancestry)",GCST003043|PMID:26192919|Liu JZ,True,88,8e-28,IBD(28); RA(26); other-autoimmune(15); T1D(14); psoriasis(12); asthma-allergy(2); SLE(1),27.096910013008056,27.096910013008056
IL2RA,ENSG00000134460,2,312,118,3.0000000000000003e-56,"lymphocyte count; rheumatoid arthritis; asthma; eosinophil count; Asthma; Eosinophil count; Rheumatoid arthritis; psoriasis; Lymphocyte count; Eczematoid dermatitis; type 1 diabetes mellitus; Eczema; Allergic disease (asthma, hay fever or eczema); Crohn disease; autoimmune thyroid disease; multiple sclerosis; Multiple sclerosis; Type 1 diabetes; allergic rhinitis; allergic disease; ankylosing spondylitis; Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy); ulcerative colitis; rheumatoid factor seropositivity measurement; Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive); dermatitis; Atopic/contact dermatitis due to other or unspecified (PheCode 939); lymphocyte percentage of leukocytes; Lymphocyte count (UKB data field 30120); Hay fever and/or eczema; Autoimmune thyroid disease; eosinophil percentage of leukocytes; Skin condition (ex. Eczema, Psoriasis); lymphocyte (absolute count, maximum, inv-norm transformed); Alopecia areata; alopecia areata; lymphocyte (absolute count, mean, inv-norm transformed); Lymphocyte-to-monocyte ratio; lymphocyte:monocyte ratio; Graves' disease; Graves disease; Lymphocytic thyroiditis; Hashimoto thyroiditis; Seborrheic dermatitis (PheCode 690.1); seborrheic dermatitis; Psoriasis and related disorder (PheCode 696); psoriasis vulgaris; Psoriasis vulgaris (PheCode 696.41); Psoriasis (PheCode 696.4); Autoimmune hypothyroidism; Lymphocyte percentage (UKB data field 30180); Lymphocyte percentage of white cells; Vitiligo; vitiligo; neutrophil-to-lymphocyte ratio; Neutrophil-to-lymphocyte ratio; lymphocyte amount; Rheumatoid arthritis or type 1 diabetes; Takes medication for Skin condition (ex. Eczema, Psoriasis)?; autoimmune disease; Autoimmune traits; atopic eczema; Atopic dermatitis; Platelet-to-lymphocyte ratio; platelet-to-lymphocyte ratio; lymphocyte (fraction, mean, inv-norm transformed); Eosinophil percentage of white cells; lymphocyte (fraction, maximum, inv-norm transformed); Rheumatoid arthritis (MTAG); childhood onset asthma; Asthma (childhood onset); Asthma or chronic rhinosinusitis; atopic asthma; Atopic asthma; Crohn's disease; juvenile idiopathic arthritis; Arthritis (juvenile idiopathic); level of lymphocyte antigen 96 in blood; adult onset asthma; Asthma (adult onset); Psoriasis; inflammatory bowel disease; Inflammatory bowel disease; eosinophil (fraction, mean, inv-norm transformed); ACPA-positive rheumatoid arthritis",GCST90837324|PMID:41748903|Reeve MP,True,74,3.0000000000000003e-56,asthma-allergy(31); other-autoimmune(15); psoriasis(13); RA(13); IBD(5); T1D(4); MS(3),55.52287874528034,55.52287874528034
STAT6,ENSG00000166888,3,139,79,2.9999999999999996e-39,"asthma; Asthma; eosinophil count; Eosinophil count; allergic disease; childhood onset asthma; adult onset asthma; Asthma (childhood onset); Asthma (adult onset); eosinophil percentage of leukocytes; Eczematoid dermatitis; Allergic disease (asthma, hay fever or eczema); eosinophil (absolute count, mean, inv-norm transformed); eosinophil (fraction, mean, inv-norm transformed); allergic rhinitis; eosinophil (absolute count, maximum, inv-norm transformed); atopic asthma; Atopic asthma; eosinophil (fraction, maximum, inv-norm transformed); Asthma in any disease; serum IgE amount; IgE levels; Eosinophil percentage of white cells; Non-steroidal anti-inflammatory and antirheumatic product use measurement; Medication use (anti-inflammatory and antirheumatic products, non-steroids); Nonatopic asthma; Allergic sensitization; allergic sensitization measurement; atopic eczema; Atopic dermatitis; Eczema; Hay fever and/or eczema; Age of onset of childhood onset asthma; age of onset of childhood onset asthma; Age of onset of adult onset asthma; age of onset of asthma; Eosinophil percentage of granulocytes; eosinophil percentage of granulocytes; Sum eosinophil basophil counts; Asthma or chronic rhinosinusitis; Asthma (moderate or severe); Asthma or allergic disease (pleiotropy); Pediatric asthma; Allergic disease (asthma, hay fever and/or eczema) (age of onset); Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis); Asthma onset (childhood vs adult); B-cell lymphoblastic leukemia or adult-onset asthma (pleiotropy); Allergy; Adult asthma",GCST010043|PMID:32296059|Han Y,True,55,2.9999999999999996e-39,asthma-allergy(55),38.52287874528034,38.52287874528034
IL4R,ENSG00000077238,3,117,77,2.9999999999999996e-49,"asthma; eosinophil count; Asthma; Eosinophil count; childhood onset asthma; eosinophil percentage of leukocytes; Asthma (childhood onset); Eosinophil percentage of white cells; Serum IgE levels; adult onset asthma; Asthma (adult onset); eosinophil (absolute count, mean, inv-norm transformed); eosinophil (absolute count, maximum, inv-norm transformed); eosinophil (absolute count, minimum, inv-norm transformed); Nonatopic asthma; Eczematoid dermatitis; ulcerative colitis; Ulcerative colitis; serum IgE amount; Autoimmune hypothyroidism; autoimmune thyroid disease; eosinophil (fraction, mean, inv-norm transformed); Asthma or chronic rhinosinusitis; eosinophil (fraction, maximum, inv-norm transformed); Age of onset of childhood onset asthma; age of onset of childhood onset asthma; Psoriasis; psoriasis; eosinophil (fraction, minimum, inv-norm transformed); Pediatric asthma; atopic asthma; Atopic asthma; Asthma in any disease; Sum eosinophil basophil counts; Hay fever and/or eczema; allergic rhinitis; Asthma onset (childhood vs adult); Eczema; Vitiligo; vitiligo; Chronic inflammatory sinonasal disease; inflammatory bowel disease; Inflammatory bowel disease; IgE levels; allergic disease; Self-reported allergy; Asthma (time to onset)",GCST90002302|PMID:32888493|Chen MH,True,48,2e-34,asthma-allergy(42); IBD(3); other-autoimmune(2); psoriasis(1),48.52287874528034,33.69897000433602
CD247,ENSG00000198821,3,173,56,2e-25,"asthma; Asthma; eosinophil count; Eosinophil count; systemic sclerosis; Systemic sclerosis; adult onset asthma; Asthma (adult onset); Eczematoid dermatitis; Allergic disease (asthma, hay fever or eczema); allergic rhinitis; allergic disease; childhood onset asthma; Asthma (childhood onset); autoimmune thyroid disease; eosinophil percentage of leukocytes; atopic asthma; Atopic asthma; Eczema; Autoimmune hypothyroidism; Hay fever and/or eczema; Eosinophil percentage of white cells; leukocyte quantity; eosinophil (fraction, mean, inv-norm transformed); Asthma or chronic rhinosinusitis; Age of onset of adult onset asthma; age of onset of asthma; Celiac disease or Rheumatoid arthritis; immune system disorder; Age of onset of childhood onset asthma; age of onset of childhood onset asthma; Asthma or allergic disease (pleiotropy); atopic eczema; Atopic dermatitis; Autoimmune thyroid disease; Allergic rhinitis; Asthma (moderate or severe); Juvenile idiopathic arthritis; juvenile idiopathic arthritis; Asthma in any disease; celiac disease; Celiac disease; rheumatoid arthritis; Rheumatoid arthritis",GCST007075|PMID:30595370|Kichaev G,True,46,2e-25,asthma-allergy(35); other-autoimmune(9); RA(2),24.69897000433602,24.69897000433602
IL7R,ENSG00000168685,2,227,111,3e-144,"eosinophil count; lymphocyte count; asthma; Asthma; leukocyte quantity; Eosinophil count; Lymphocyte count; lymphocyte amount; atopic eczema; Atopic dermatitis; Eczematoid dermatitis; lymphocyte percentage of leukocytes; allergic rhinitis; multiple sclerosis; Eczema; eosinophil percentage of leukocytes; Allergic disease (asthma, hay fever or eczema); allergic disease; Multiple sclerosis; Lymphocyte percentage of white cells; Eosinophil percentage of white cells; lymphocyte (fraction, maximum, inv-norm transformed); lymphocyte (fraction, mean, inv-norm transformed); Lymphocyte side scatter; eosinophil (absolute count, mean, inv-norm transformed); Allergic rhinitis; eosinophil (fraction, mean, inv-norm transformed); eosinophil (absolute count, maximum, inv-norm transformed); autoimmune thyroid disease; myeloid leukocyte count; eosinophil (fraction, maximum, inv-norm transformed); eosinophil (absolute count, minimum, inv-norm transformed); Lymphocyte count (UKB data field 30120); Lymphocyte percentage (UKB data field 30180); Hay fever and/or eczema; lymphocyte (absolute count, maximum, inv-norm transformed); lymphocyte (absolute count, mean, inv-norm transformed); Platelet-to-lymphocyte ratio; platelet-to-lymphocyte ratio; neutrophil-to-lymphocyte ratio; Neutrophil-to-lymphocyte ratio; Lymphocyte side fluorescence distribution width; Lymphocyte-to-monocyte ratio; lymphocyte:monocyte ratio; Lymphocyte side fluorescence; lymphocyte (absolute count, minimum, inv-norm transformed); Autoimmune hypothyroidism; Reactive lymphocyte percentage of white cells; Reactive lymphocyte count; Asthma or chronic rhinosinusitis; Sum eosinophil basophil counts; seasonal allergic rhinitis; Eosinophil percentage of granulocytes; eosinophil percentage of granulocytes; T-lymphocyte surface antigen Ly-9 level; Asthma or allergic disease (pleiotropy); systemic lupus erythematosus; Systemic lupus erythematosus (MTAG); Skin condition (ex. Eczema, Psoriasis); adult onset asthma; Asthma (adult onset); atopic asthma; Atopic asthma; Type 1 diabetes; type 1 diabetes mellitus; Autoimmune thyroid disease; Age of onset of adult onset asthma; age of onset of asthma; Allergic conjunctivitis; atopic conjunctivitis; Vasomotor rhinitis or allergic rhinitis (MTAG); Lymphocyte side scatter distribution width; Multiple sclerosis (MTAG); Asthma in any disease; Psoriasis; psoriasis; Chronic inflammatory sinonasal disease",GCST90002320|PMID:32888493|Chen MH,True,44,3e-99,asthma-allergy(35); MS(4); other-autoimmune(2); psoriasis(2); SLE(1); T1D(1),143.52287874528034,98.52287874528034
SMARCE1,ENSG00000073584,3,69,62,3e-68,"eosinophil count; asthma; Eczematoid dermatitis; Eosinophil count; allergic disease; Asthma; lymphocyte count; Eczema; allergic rhinitis; Allergic disease (asthma, hay fever or eczema); atopic eczema; Atopic dermatitis; eosinophil percentage of leukocytes; lymphocyte percentage of leukocytes; childhood onset asthma; Asthma (childhood onset); Type 1 diabetes; type 1 diabetes mellitus; Eosinophil percentage of white cells; Hay fever and/or eczema; eosinophil (absolute count, mean, inv-norm transformed); eosinophil (absolute count, maximum, inv-norm transformed); Lymphocyte percentage of white cells; Lymphocyte count; atopic asthma; Atopic asthma; Lymphocyte percentage (UKB data field 30180); Lymphocyte count (UKB data field 30120); Allergic rhinitis; Asthma or allergic disease (pleiotropy); eosinophil (fraction, maximum, inv-norm transformed); Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis); ulcerative colitis; Ulcerative colitis; Allergic disease (asthma, hay fever and/or eczema) (age of onset); Sum eosinophil basophil counts; dermatitis; Atopic/contact dermatitis due to other or unspecified (PheCode 939); inflammatory bowel disease; Inflammatory bowel disease; Asthma (age of onset); Eosinophil percentage of granulocytes; eosinophil percentage of granulocytes; Allergic conjunctivitis; atopic conjunctivitis",GCST007075|PMID:30595370|Kichaev G,True,37,3e-68,asthma-allergy(32); T1D(3); IBD(2),67.52287874528034,67.52287874528034
STAT3,ENSG00000168610,2,94,37,9e-40,"inflammatory bowel disease; Crohn disease; Inflammatory bowel disease; atopic eczema; Atopic dermatitis; Crohn's disease; multiple sclerosis; Multiple sclerosis; ulcerative colitis; Ulcerative colitis; Inflammatory bowel disease (MTAG); ankylosing spondylitis; psoriasis; Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy); Multiple sclerosis (MTAG); atopic asthma; Atopic asthma; systemic sclerosis; Crohn's disease or systemic sclerosis; systemic lupus erythematosus; Systemic lupus erythematosus",GCST90292538|PMID:37156999|Liu Z,True,37,9e-40,IBD(22); asthma-allergy(8); MS(6); other-autoimmune(2); psoriasis(1); SLE(1),39.045757490560675,39.045757490560675
COG6,ENSG00000133103,2,92,52,5e-40,"rheumatoid arthritis; eosinophil count; Rheumatoid arthritis; Eosinophil count; asthma; Asthma; Psoriasis; psoriasis; eosinophil percentage of leukocytes; rheumatoid factor seropositivity measurement; Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive); Eosinophil percentage of white cells; systemic lupus erythematosus; adult onset asthma; Asthma (adult onset); Rheumatoid arthritis (ACPA-positive); multiple sclerosis; Multiple sclerosis; eosinophil (fraction, mean, inv-norm transformed); Asthma or chronic rhinosinusitis; eosinophil (fraction, maximum, inv-norm transformed); eosinophil (absolute count, mean, inv-norm transformed); Systemic lupus erythematosus or rheumatoid arthritis; eosinophil (absolute count, maximum, inv-norm transformed); COVID-19 hospitalization or rheumatoid arthritis (MTAG); Sum eosinophil basophil counts; Eosinophil percentage of granulocytes; eosinophil percentage of granulocytes; ACPA-positive rheumatoid arthritis; Rheumatoid arthritis (MTAG); Age of onset of adult onset asthma; age of onset of asthma; Systemic lupus erythematosus (MTAG); systemic-onset juvenile idiopathic arthritis; rheumatoid factor-negative juvenile idiopathic arthritis; oligoarticular juvenile idiopathic arthritis; Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)",GCST007065|PMID:30595370|Kichaev G,True,35,9e-22,RA(18); asthma-allergy(10); psoriasis(4); SLE(2); MS(2); other-autoimmune(1),39.30102999566398,21.045757490560675
GATA3,ENSG00000107485,2,104,52,3.0000000000000002e-25,rheumatoid arthritis; asthma; Rheumatoid arthritis; eosinophil count; Eosinophil count; lymphocyte count; Asthma; Lymphocyte count; adult onset asthma; Rheumatoid arthritis (ACPA-positive); Type 1 diabetes; type 1 diabetes mellitus; eosinophil percentage of leukocytes; lymphocyte percentage of leukocytes; rheumatoid factor seropositivity measurement; Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive); multiple sclerosis; Asthma (adult onset); Eosinophil percentage of white cells; Lymphocyte count (UKB data field 30120); Lymphocyte percentage (UKB data field 30180); Asthma or chronic rhinosinusitis; Lymphocyte percentage of white cells; B-cell lymphoblastic leukemia or adult-onset asthma (pleiotropy); nodular sclerosis classical Hodgkin lymphoma; Nodular sclerosis Hodgkin lymphoma; B-cell lymphoblastic leukemia or rheumatoid arthritis (pleiotropy); Multiple sclerosis; Asthma (moderate or severe); B-cell lymphoblastic leukemia or multiple sclerosis (pleiotropy); Nonatopic asthma; lymphocyte amount; inflammatory bowel disease; B-cell lymphoblastic leukemia or inflammatory bowel disease (pleiotropy); Asthma in any disease; atopic eczema; Atopic dermatitis; Autoimmune traits (pleiotropy); autoimmune disease,GCST007065|PMID:30595370|Kichaev G,True,35,6e-17,RA(15); asthma-allergy(13); T1D(3); MS(2); IBD(1); other-autoimmune(1),24.522878745280337,16.221848749616356
CD28,ENSG00000178562,3,95,50,5e-26,"eosinophil count; Eosinophil count; rheumatoid arthritis; Rheumatoid arthritis; lymphocyte count; Lymphocyte count; Asthma; asthma; celiac disease; ulcerative colitis; Celiac disease; inflammatory bowel disease; Inflammatory bowel disease; eosinophil percentage of leukocytes; Crohn disease; Ulcerative colitis; Eosinophil percentage of white cells; ankylosing spondylitis; psoriasis; Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy); Celiac disease and Rheumatoid arthritis; Serum IgE levels; eosinophil (fraction, mean, inv-norm transformed); eosinophil (fraction, maximum, inv-norm transformed); eosinophil (absolute count, mean, inv-norm transformed); Autoimmune traits (pleiotropy); autoimmune disease; eosinophil (absolute count, maximum, inv-norm transformed); multiple sclerosis; Multiple sclerosis; Eczematoid dermatitis; Eczema; Rheumatoid arthritis (ACPA-positive); Type 1 diabetes; type 1 diabetes mellitus; systemic lupus erythematosus; Systemic lupus erythematosus; Crohn's disease",GCST90002302|PMID:32888493|Chen MH,True,29,1e-20,RA(9); IBD(7); other-autoimmune(6); asthma-allergy(6); psoriasis(1); MS(1); T1D(1); SLE(1),25.30102999566398,20.0
PTPRC,ENSG00000081237,2,217,80,1e-60,"lymphocyte count; eosinophil count; leukocyte quantity; Lymphocyte count; Asthma; asthma; Eosinophil count; systemic lupus erythematosus; eosinophil percentage of leukocytes; myeloid leukocyte count; Lymphocyte count (UKB data field 30120); lymphocyte percentage of leukocytes; Systemic lupus erythematosus; Crohn disease; Crohn's disease; Eosinophil percentage of white cells; eosinophil (fraction, maximum, inv-norm transformed); eosinophil (absolute count, mean, inv-norm transformed); Graves' disease; Graves disease; Lymphocyte percentage of white cells; adult onset asthma; Asthma (adult onset); inflammatory bowel disease; Inflammatory bowel disease; Systemic lupus erythematosus (MTAG); eosinophil (fraction, mean, inv-norm transformed); Platelet-to-lymphocyte ratio; platelet-to-lymphocyte ratio; Lymphocyte percentage (UKB data field 30180); eosinophil (absolute count, maximum, inv-norm transformed); eosinophil (absolute count, minimum, inv-norm transformed); Autoimmune hypothyroidism; autoimmune thyroid disease; Eosinophil percentage of granulocytes; eosinophil percentage of granulocytes; Sum eosinophil basophil counts; Type 1 diabetes; type 1 diabetes mellitus; Age of onset of adult onset asthma; age of onset of asthma; childhood onset asthma; Pediatric asthma; Vitiligo; vitiligo; rheumatoid arthritis; Rheumatoid arthritis",GCST90662906|PMID:40436827|Jee YH,True,28,2e-15,asthma-allergy(12); IBD(5); SLE(5); other-autoimmune(4); T1D(1); RA(1),60.0,14.698970004336019
